제목,신문사,바로가기
'원순씨는 어디에'···박 시장 일부 SNS 비공개 전환,서울경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0003766236
구글코리아 법인세 6000억원 납부와 동시에 ‘불복 절차’ 신청,경향신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=032&aid=0003019854
"구글코리아 5,000억원 법인세 낸 후 조세심판원 통해 ‘불복’",서울경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0003766235
"삼성전자 부사장 ""영국에 5G 장비 공급 가능하다""",한국일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=469&aid=0000514265
[조달청 입찰정보]주간 신기술 용역·물품구매,디지털타임스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=029&aid=0002610037
핀트 누적 투자일임 계좌수 2만5000건 돌파,스포츠경향,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=144&aid=0000680363
구글코리아 법인세 추징액 6천억원 납부…조세심판원 통해 불복(종합),연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=001&aid=0011736316
언론노조 “방통위는 낙마·부패 정치인 자리보전용 아니다” 성명,이데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=018&aid=0004685554
"""온라인 혐오표현, 규제가 필요해""",블로터,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=293&aid=0000029542
"SK실트론, 한달간 '구성원과 함께 하는 행복 헌혈' 캠페인",뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=003&aid=0009959937
"CJ ENM-딜라이브, 사용료 협상 '결렬'…과기부 ""계속 중재할 것""",뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=003&aid=0009959935
"법원, 메디톡스 집행정지 신청 `기각`",디지털타임스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=029&aid=0002610035
"네이버, 보험사 제휴 상품판매 검토",디지털타임스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=029&aid=0002610034
전국 SKT 기지국서 지진 감시한다,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=022&aid=0003482892
Smart globes,코리아중앙데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=640&aid=0000002062
"삼성전자 부사장 ""영국 5G 통신망 장비 공급 가능""",연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=001&aid=0011736235
"한미사이언스·바이오앱 ""코로나19 식물백신 동물실험서 효과""",디지털타임스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=029&aid=0002610032
"라그나로크 오리진, 이용자 증가로 서버 개설 및 서버 용량 확장",포모스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=236&aid=0000204204
"딜라이브-CJ ENM, 프로그램 사용료 협상 이어간다",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193483
"""보안 생태계 넓히자""… 해외시장 두드리는 보안업계",디지털타임스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=029&aid=0002609986
기업 자체 데이터센터서 클라우드 제공하는 오라클,디지털타임스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=029&aid=0002609985
NH농협 차세대 금융IT 프로젝트 `SK㈜ C&C`가 품었다,디지털타임스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=029&aid=0002609984
의대 입학정원 10년간 4000명 늘린다,디지털타임스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=029&aid=0002609983
"아틀라스랩스, 'AI 전화' 개발…통화 녹음 및 문자 변환",뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=003&aid=0009959893
"CJ ENM-딜라이브, 정부 중재서 입장차 재확인…""추가 협상""",아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=277&aid=0004715392
"아틀라스랩스, iOS 안드로이드 지원 AI전화 앱 스위치 런칭",매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612428
"""내정설 그대로”…민주당, 김현 전 의원 방통위원 추천",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193482
"""블랙아웃 까지 D-8일""....CJ ENM-딜라이브, 사용료 합의 `불발`",디지털타임스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=029&aid=0002609962
"모바일 투자 핀트 ""투자일임 계좌수 2만5천건 넘어""",매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612427
"""지금 수준의 거리두기는 감염확률 4분의 1로 낮췄지만 재유행 막기엔 역부족""",동아사이언스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=584&aid=0000009497
"코인플러그-카르디아체인, 베트남 DID 사업 공동 추진",매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612426
왓챠 OTT 브랜드 '왓챠플레이'서 '왓챠'로 변경,전자신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=030&aid=0002892648
"""네이버·카카오는 어떤 혐오표현 규제하나…정보 공개해야""",뉴스1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=421&aid=0004745934
"U+골프, 1홀부터 18홀까지 전 경기 중계",일간스포츠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=241&aid=0003037157
"룰루랩, AI 피부 측정 미러 `루미니 키오스크 V2` 론칭",매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612425
"글로벌 소셜 디스커버리 앱 틴더, 영상 채팅 기능 도입",매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612422
"KISA ""온라인 투표·기부에 블록체인 도입…DID 기술 육성 집중""",뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=003&aid=0009959879
SKT 전국 3000개 기지국이 지진관측소로 변신,일간스포츠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=241&aid=0003037156
"[이슈] 인기 미드 '왕좌의게임'의 감동, 게임으로 다시 느낀다",데일리e스포츠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=347&aid=0000145019
"플로우 ""현대모비스도 플로우로 소통""",매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612421
"에프원시큐리티, 국내 정보보호 최고 기술 기업 윤엠과 손잡다",전자신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=030&aid=0002892647
"픽스다인, 픽스다인M으로 새 출발",매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612420
"민주당, 방통위원 후보자로 김현 전 의원 추천",아이뉴스24,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000546898
"웹젠 뮤아크엔젤, 새 전장 크리소스 월드 추가",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193481
